Name,Filename,Slate_Scene,SlateScene_SlateTake_calc,ShootDate,Slate_Take,SlateScene_SlateTake_Camera_calc,Codebook_Pictures::Image,Tape,LabRoll,Cam Roll,Cam Type,AuxTC 24,Key Start,Timecode_Start,Timecode_End,Timecode_Duration,FrameNumberDuration,FrameNumberStart,FrameNumberEnd,SoundRoll,SoundTC,AuxTC1,AudioTRK1,AudioTRK2,AudioTRK3,AudioTRK4,AudioTRK5,AudioTRK6,AudioTRK7,AudioTRK8,Image Calculation,Selects,Lens,Description,Script Super Notes,Comments_telecine,VFX prefix,VFX Set ID,VFX notes,DateCreated,VFX Witness Cams,DateModified
141C-1,A016S010_20120228.1047933,141C,141C_1,2/28/12,1,141C_1_A,141C-1--1.jpg,VTA009,A016S010_20120228.1047933,AA016,Alexa,12:07:43:21,OS 00 0000-0000+00,09:37:34:05,09:39:38:04,00:02:03:23,2975,0,2974,7,12:07:43:21,12:07:43:21,Mix,Boom,,John,Cole,,,,,X,C60,CU LR for look up to Cole down to silver ,"ng look to glass CL ""attack Willow Creek""",,PC,,,3/1/12,,3/1/12
X213-4mos*,LR40784074.0002909,X213,X213_4,5/21/12,4,X213_4_G,X213-4mosâ.jpg,VTF122,LR40784074.0002909,FG043,Film,00:02:01:05,,02:02:01:05,02:02:19:13,00:00:18:08,440,0,439,0,,,,,,,,,,,,X,75,Edge plate - low angle tracking Silver and LR double race toward the tunnel rt to lft,"22fps, might be too wide - push in in post",,TM,TM125,,5/23/12,,5/23/12
X213-4vf*,LR40784074.0003349,X213,X213_4BALL,5/21/12,4BALL,X213_4BALL_G,X213-4vfx.jpg,VTF122,LR40784074.0003349,FG043,Film,00:02:19:13,,02:02:19:13,02:02:55:02,00:00:35:13,853,0,852,0,,,,,,,,,,,,,75,balls,,"REF BALLS, TAIL ID",TM,TM125,,5/23/12,,5/23/12
X53AJ-SER1,LR40795583.0000000,X53AJ,X53AJ_SER1,5/22/12,SER1,X53AJ_SER1_XF,X53AJ-SER1--1.jpg,VTF125,LR40795583.0000000,XFC010,Film,00:00:00:00,,05:00:00:00,05:00:50:07,00:00:50:07,1207,0,1206,0,,,,,,,,,,,,,,silver meltng in revrse Mvmt,,,VN,,,5/24/12,,5/24/12
X53AJ-SER2,LR40795583.0001207,X53AJ,X53AJ_SER2,5/22/12,SER2,X53AJ_SER2_XF,X53AJ-SER2.jpg,VTF125,LR40795583.0001207,XFC010,Film,00:00:50:07,,05:00:50:07,05:01:39:16,00:00:49:09,1185,0,1184,0,,,,,,,,,,,,,,silver meltng in revrse Mvmt,,,VN,,,5/24/12,,5/24/12
X53AK-SER,LR40795583.0002392,X53AK,X53AK_SER,5/22/12,SER,X53AK_SER_XF,X53AK-SER.jpg,VTF125,LR40795583.0002392,XFC011,Film,00:01:39:16,,05:01:39:16,05:02:54:21,00:01:15:05,1805,0,1804,0,,,,,,,,,,,,,,silver melting,,NO ID,VN,,,5/24/12,,5/24/12
193-1mos,LR40795599_0086400,193,193_1,5/22/12,1,193_1_V,193-1mos--1.jpg,VTV027,LR40795599_0086400,VV030,Vista,01:00:00:00,,07:00:00:00,07:00:18:19,00:00:18:19,451,0,450,0,,,,,,,,,,,,,28,B side of shot - pan rt to lft to Jupiter - Cole fires rt to Sidekick. Cav moves along engine fires rt,cam got too close,,OB,OB005,,5/24/12,,5/24/12
193-2mos*,LR40795599_0086851,193,193_2,5/22/12,2,193_2_V,193-2mosâ.jpg,VTV027,LR40795599_0086851,VV030,Vista,01:00:18:19,,07:00:18:19,07:00:42:02,00:00:23:07,559,0,558,0,,,,,,,,,,,,X,28,B side of shot - pan rt to lft to Jupiter - Cole fires rt to Sidekick. Cav moves along engine fires rt,best  take,TAIL ID,OB,OB005,,5/24/12,,5/24/12
193-3mos*,LR40795599_0087410,193,193_3,5/22/12,3,193_3_V,193-3mosâ.jpg,VTV027,LR40795599_0087410,VV030,Vista,01:00:42:02,,07:00:42:02,07:01:12:14,00:00:30:12,732,0,731,0,,,,,,,,,,,,X,28,B side of shot - pan rt to lft to Jupiter - Cole fires rt to Sidekick. Cav moves along engine fires rt,, REF BALLS AT TAIL,OB,OB005,,5/24/12,,5/24/12
193-4mos*,LR40795599_0088142,193,193_4,5/22/12,4,193_4_V,193-4mosâ.jpg,VTV027,LR40795599_0088142,VV030,Vista,01:01:12:14,,07:01:12:14,07:01:47:08,00:00:34:18,834,0,833,0,,,,,,,,,,,,X,28,B side of shot - pan rt to lft to Jupiter - Cole fires rt to Sidekick. Cav moves along engine fires rt,,,OB,OB005,,5/24/12,,5/24/12
193-5mos*,LR40795599_0088976,193,193_5,5/22/12,5,193_5_V,193-5mosâ--1.jpg,VTV027,LR40795599_0088976,VV031,Vista,01:01:47:08,,07:01:47:08,07:02:00:23,00:00:13:15,327,0,326,0,,,,,,,,,,,,X,28,A Side of shot - Pull back from Sidekick in Constitution pan to Jupiter,nice,,OB,OB005,,5/24/12,,5/24/12
193-6mos,LR40795599_0089303,193,193_6,5/22/12,6,193_6_V,193-6mos.jpg,VTV027,LR40795599_0089303,VV031,Vista,01:02:00:23,,07:02:00:23,07:02:21:11,00:00:20:12,492,0,491,0,,,,,,,,,,,,,28,A Side of shot - Pull back from Sidekick in Constitution pan to Jupiter,wobble,REF BALLS AT TAIL,OB,OB005,,5/24/12,,5/24/12
193-7mos*,LR40795599_0089795,193,193_7,5/22/12,7,193_7_V,193-7mosâ.jpg,VTV027,LR40795599_0089795,VV031,Vista,01:02:21:11,,07:02:21:11,07:02:54:00,00:00:32:13,781,0,780,0,,,,,,,,,,,,X,28,A Side of shot - Pull back from Sidekick in Constitution pan to Jupiter,,,OB,OB005,,5/24/12,,5/24/12
X53AL-1(XC)mos,LR40805625.0000000,X53L,X53L_SER,5/23/12,SER,X53L_SER_XF,X53AL-1(XC)mos--1.jpg,VTF128,LR40805625.0000000,XFC012,Film,00:00:00:00,,08:00:00:00,08:00:30:17,00:00:30:17,737,0,736,0,,,,,,,,,,,,,,MCU Large chunk of silver melts,2x,,VN,,,5/25/12,,5/25/12
X53AL-1(XF)mos,LR40805639.0000000,X53AL,X53AL_SER,5/23/12,SER,X53AL_SER_XF,X53AL-1(XF)mos--1.jpg,VTF128,LR40805639.0000000,XFF002,Film,00:00:00:00,,08:05:53:02,08:06:19:02,00:00:26:00,624,0,623,0,,,,,,,,,,,,,,CU and MCU of silver melting,2x,,VN,,,5/25/12,,5/25/12
X53AM-1(XC)mos,LR40805625.0000737,X53M,X53M_1,5/23/12,1,X53M_1_XF,X53AM-1(XC)mos--1.jpg,VTF128,LR40805625.0000737,XFC012,Film,00:00:30:17,,08:00:30:17,08:02:53:20,00:02:23:03,3435,0,3434,0,,,,,,,,,,,,,,MCU Bloody railroad pin hits dirt STIX,3x,mis-slated as X53M-1,VN,,,5/25/12,,5/25/12
119J-2(D)ALT*,LR41284440.0001359,119J,119J_2,8/3/12,2,119J_2_D,,VTF185,LR41284440.0001359,FD181,Film,00:00:56:15,,06:02:27:06,06:03:19:22,00:00:52:16,1264,0,1263,159,,12:51:28:01,,,,,,,,,1,X,,"Front angle 3 shot Sidekick, LR and Silver in rt to lft lokout",,Full APP,TP,,,11/28/12,,11/28/12